,corpusid,section,subsection,text,wc,_id,externalids,url,title,authors,venue,publicationvenueid,year,referencecount,citationcount,influentialcitationcount,isopenaccess,s2fieldsofstudy,publicationtypes,publicationdate,journal,updated,field,x,y,labels,corpusid_unique,section_pos_in_pct,x_centered,y_centered
4,2423505,2/23,1.0,"As mentioned in the introduction, the shortage of labeled **data** is a fundamental problem for applied machine learning. It is important enough that several areas of research is devoted to various aspects of this problem. In the active learning paradigm, labels are acquired in an interactive fashion to maximize the benefit of each new label [Kapoor et al., 2007]. Related approaches include [Branson et al., 2011], where a 'human-in-the-loop' determines which labels to update, thus making the 'most' out of the acquired labels. Crowd sourcing through, e.g. Amazon mechanical turk (mTurk), allows for rapid collection of large amounts of labels, and much research is devoted to the efficient distribution of tasks and the interpretation and weighting of retrieved labels [Welinder et al., 2010]. Further areas include weakly supervised method, e.g. multiple instance learning [Dietterich et al., 1997] or latent structureal SVMs [Yu and Joachims, 2009] where the level of supervision is lower than the given task demands. Other approaches include semi-supervised learning that make use of small amounts of labelled **data** together with large amounts of unlabeled data. Notably the concept of co-training [Blum and Mitchell, 1998] is a popular approach.",191,63e5210f31b0fa76e5c8f9c2,"{'ACL': None, 'DBLP': 'journals/corr/abs-1211-4860', 'ArXiv': '1211.4860', 'MAG': '1842037955', 'CorpusId': '2423505', 'PubMed': None, 'DOI': None, 'PubMedCentral': None}",https://www.semanticscholar.org/paper/af8467226bed7ef80e7d99c5bba8a2796d295b3b,Domain Adaptations for Computer Vision Applications,"[{'authorId': '3258919', 'name': 'Oscar Beijbom'}]",ArXiv,,2012.0,43,40,1,False,"[{'category': 'Computer Science', 'source': 's2-fos-model'}, {'category': 'Computer Science', 'source': 'external'}, {'category': 'Mathematics', 'source': 'external'}]","['JournalArticle', 'Review']",2012-11-20,"{'name': 'ArXiv', 'pages': None, 'volume': 'abs/1211.4860'}",2023-01-21T03:56:05.976Z,Computer Science,12.124416,4.9894395,29,2423505_2/23_1,0.087,0.42671734707821507,-3.6203869219757276
5,119479526,7/29,6.0,"analysis. Figure 1 presents the model predictions and uncertainty intervals for both the separate and combined analyses. For both quantities, the prediction from the combined analysis nearly exactly reproduces the true model and exhibits tight uncertainty intervals. Additionally, the predictive accuracy extends well beyond the temperature ranges where **data** for the original quantity are available. As expected, the predictions from the separate analysis exhibit large uncertainty intervals and poor model predictions due to the lack of **data** across the temperature range.",81,63e51dc98296e79cfbd92e04,"{'ACL': None, 'DBLP': None, 'ArXiv': '1809.07365', 'MAG': '2951794080', 'CorpusId': '119479526', 'PubMed': None, 'DOI': '10.1016/J.IJENGSCI.2019.05.011', 'PubMedCentral': None}",https://www.semanticscholar.org/paper/6a055a161100858099e07363a299f6a92dbe6d9b,Bayesian strategies for uncertainty quantification of the thermodynamic properties of materials,"[{'authorId': '102768252', 'name': 'Noah H. Paulson'}, {'authorId': '49430957', 'name': 'E. Jennings'}, {'authorId': '145031919', 'name': 'M. Stan'}]",International Journal of Engineering Science,02d10b3a-d2f6-4c55-bf63-52e48d0f43d2,2018.0,74,24,1,True,"[{'category': 'Materials Science', 'source': 's2-fos-model'}, {'category': 'Computer Science', 'source': 'external'}, {'category': 'Physics', 'source': 'external'}, {'category': 'Materials Science', 'source': 'external'}]",,2018-09-19,"{'name': 'International Journal of Engineering Science', 'pages': None, 'volume': None}",2023-01-04T16:02:26.521Z,Materials Science,10.491381,6.4988513,-1,119479526_7/29_6,0.241,-1.2063176529217845,-2.110975121975727
6,52876235,2/31,1.0,"For the small area device, the gas sensor measurements were performed in both oxidizing (NO2) and reducing (CO) atmospheres at 100 °C, while for the large area device, gas sensor measurements were carried out for oxidizing gas at 100 and 200 °C, maintaining the same time intervals and flow. Figure 2 presents the XRD of the obtained SnO micro-disks after synthesis and sedimentation process. One can see that the experimental **data** was indexed using the romarchite phase of the SnO (Space group P4/nmm, litharge-type tetragonal structure, similar to α-PbO), the metallic tin (Sn 0 ), and the cassiterite phase of the SnO2 (rutile-type tetragonal structure). The predominance of the SnO phase and its high crystallinity matches with the HRTEM and SAED pattern (not shown here), and both Sn 0 and SnO2 phases are related to the well-known disproportionation reaction that SnO undergoes especially in high temperatures and low oxygen pressures, as in inert atmosphere synthesis [26,27].",156,63e55c7e854735968b4f13db,"{'ACL': None, 'DBLP': 'journals/sensors/MasteghinO18', 'ArXiv': None, 'MAG': '2894434162', 'CorpusId': '52876235', 'PubMed': '30257516', 'DOI': '10.3390/s18103229', 'PubMedCentral': '6210233'}",https://www.semanticscholar.org/paper/90b6a5cbcd17f887366e273093c3801a2bb67f31,A Gas Sensor Based on a Single SnO Micro-Disk,"[{'authorId': '84503976', 'name': 'M. Masteghin'}, {'authorId': '35387930', 'name': 'M. Orlandi'}]",Italian National Conference on Sensors,3dbf084c-ef47-4b74-9919-047b40704538,2018.0,49,16,0,True,"[{'category': 'Physics', 'source': 's2-fos-model'}, {'category': 'Materials Science', 'source': 's2-fos-model'}, {'category': 'Computer Science', 'source': 'external'}, {'category': 'Materials Science', 'source': 'external'}, {'category': 'Medicine', 'source': 'external'}]",['JournalArticle'],2018-09-25,"{'name': 'Sensors (Basel, Switzerland)', 'pages': None, 'volume': '18'}",2022-12-02T12:18:20.993Z,Physics,13.054349,11.761301,17,52876235_2/31_1,0.065,1.3566503470782152,3.1514745780242723
7,3287420,4/10,1.0,"The NOAK study (optimization of anti-inflammatory asthma treatment using exhaled nitric oxide to improve asthma-related quality of life within primary health care) was a randomized, controlled trial on F E NO-guided treatment with asthma-related quality of life and asthma symptom control as endpoints. Details on sampling procedure and **data** collection have been described elsewhere. 38 A brief description of methodological procedures is given here. Informed written consent was obtained prior to the start of the study from all participants. The study was registered in clinical trials, NCT00421018, and was approved by the regional ethics committee in Stockholm (Dnr: 2006/185-31). A sample of 181 patients with asthma (87 women, 94 men) aged 18-64 years were recruited at 17 primary health care centres in seven different county councils in central and southern Sweden from November 2006 to March 2010. All participants had a diagnosis of asthma and had confirmed IgE sensitization to at least one airborne perennial allergen. The participants were non-smokers since at least 1 year before inclusion. Included patients had a previous smoking history of maximum 10 pack-years.",178,63e51b6334bf00579f79f9d0,"{'ACL': None, 'DBLP': None, 'ArXiv': None, 'MAG': '2771250260', 'CorpusId': '3287420', 'PubMed': '29255205', 'DOI': '10.1038/s41533-017-0068-0', 'PubMedCentral': '5735192'}",https://www.semanticscholar.org/paper/42568bbb778d5f7b1abaf9522c3e9ca2bb046faf,"Associations between self-rated health, sickness behaviour and inflammatory markers in primary care patients with allergic asthma: a longitudinal study","[{'authorId': '15405727', 'name': 'K. Lodin'}, {'authorId': '3929924', 'name': 'M. Lekander'}, {'authorId': '8485545', 'name': 'J. Syk'}, {'authorId': '1952413', 'name': 'K. Alving'}, {'authorId': '144343885', 'name': 'A. Andreasson'}]",npj Primary Care Respiratory Medicine,534db092-7c47-4084-b861-b3d91dc6cfae,2017.0,60,4,0,True,"[{'category': 'Medicine', 'source': 's2-fos-model'}, {'category': 'Medicine', 'source': 'external'}]",['JournalArticle'],2017-12-18,"{'name': 'NPJ Primary Care Respiratory Medicine', 'pages': None, 'volume': '27'}",2023-01-06T00:42:24.696Z,Medicine,14.164323,10.888851,16,3287420_4/10_1,0.4,2.4666243470782145,2.2790245780242735
8,196643668,31/34,1.0,"Figure 7 .
7Number of candidate positions after SNP filtering of NGS **data** for the dwarf mutant in line 10-d. A presentation of the SNP filtering steps are listed on the left and the number of SNPs remaining the genome after each step is provided on the right. The one and only one SNP remaining after filtering is represented graphically. The gene model of the locus responsible for the dwarf phenotype in 10-d is displayed with exons and introns indicated with the position of the mutation marked and annotated.
",88,63e52c8d52b32d61253e6733,"{'ACL': None, 'DBLP': None, 'ArXiv': None, 'MAG': '2951011357', 'CorpusId': '196643668', 'PubMed': None, 'DOI': '10.1101/045427', 'PubMedCentral': None}",https://www.semanticscholar.org/paper/91cb64a6d3ecb43a0901e5aee9b2a57c32f80ef0,Forward genetics by sequencing EMS variation induced inbred lines,"[{'authorId': '1422263322', 'name': 'Charles Addo-Quaye'}, {'authorId': '40510618', 'name': 'Elizabeth M. Buescher'}, {'authorId': '47338957', 'name': 'Norman B. Best'}, {'authorId': '3984930', 'name': 'V. Chaikam'}, {'authorId': '1963666', 'name': 'I. Baxter'}, {'authorId': '4827718', 'name': 'B. Dilkes'}]",bioRxiv,027ffd21-ebb0-4af8-baf5-911124292fd0,2016.0,58,0,0,True,"[{'category': 'Biology', 'source': 's2-fos-model'}, {'category': 'Biology', 'source': 'external'}]",,2016-03-24,"{'name': 'bioRxiv', 'pages': None, 'volume': None}",2023-01-22T15:19:21.409Z,Biology,11.09476,12.278011,-1,196643668_31/34_1,0.912,-0.6029386529217842,3.668184578024272
11,236766189,38/65,1.0,"The first step of the proposed methodology comprises the estimation of the seismic hazard in the location of the building through the use of seismic hazard curves: These curves show the probability that an earthquake intensity level is exceeded during a predetermined time period. The Peak Ground Acceleration (PGA) was chosen as the earthquake intensity measure (IM) in this study to facilitate a comparison of the analytically derived results with **data** obtained from experimental campaigns conducted using the chosen RC frame building that are based on the excitation of the structure with different PGA levels (Fardis 1996;Dolšek 2008Dolšek , 2010. Furthermore, the choice of PGA as an IM facilitates a comparison of this study with the analytically derived, PGA-based fragility curves developed for RC frame buildings of varying compliance to seismic code provisions, such as the ones determined by Kappos et al. (2006) and the PGA-based fragility curves considering ageing effects on RC frame buildings (Couto et al. 2020). Kostinakis et al. (2015), Cantagallo et al. (2012), Yakut and Yılmaz (2008) and Iervolino et al. (2018), among others, demonstrated the high correlation of the spectral acceleration at the fundamental period of the structure with the maximum and average interstorey drifts of RC buildings, indicating that such period-dependent intensity measure could be more appropriate. However, Cantagallo et al. (2012) suggest the use of the cracked (secant) period of the structure to select a spectral acceleration as an intensity measure: determining such a period for an existing building is not easy in practice, considering the variations from the as-designed state due to construction, use and ageing. Within this frame, the use of a vibration-period-independent IM in this study is a good compromise between simplicity, computational efficiency and accuracy. Two different locations have been chosen to represent the effect of two different seismic hazard levels on the seismic risk of existing RC buildings: Sion, Switzerland and Athens, Greece. The seismic hazard curves for both regions are determined using the seismic hazard platform of the European Facilities for Earthquake Hazard and Risk (EFEHR 2017) and are shown in Fig. 4. ",347,63e526120b345d424850ad61,"{'ACL': None, 'DBLP': None, 'ArXiv': None, 'MAG': '3168303293', 'CorpusId': '236766189', 'PubMed': None, 'DOI': '10.1007/s10518-021-01215-9', 'PubMedCentral': None}",https://www.semanticscholar.org/paper/19222027d0024e688f5b9430b5e7254e107355f0,Compliance-based estimation of seismic collapse risk of an existing reinforced concrete frame building,"[{'authorId': '98789999', 'name': 'A. Tsiavos'}, {'authorId': '2034183482', 'name': 'Pascal Amrein'}, {'authorId': '46267546', 'name': 'Nathan E. Bender'}, {'authorId': '2764114', 'name': 'B. Stojadinović'}]",Bulletin of Earthquake Engineering,aabd4314-5af1-4ee4-af7e-a012aade1650,2021.0,77,6,0,False,"[{'category': 'Geology', 'source': 's2-fos-model'}, {'category': 'Engineering', 'source': 's2-fos-model'}, {'category': 'Computer Science', 'source': 'external'}]",,2021-03-15,"{'name': 'Bulletin of Earthquake Engineering', 'pages': '6027 - 6048', 'volume': '19'}",2023-01-27T08:06:41.274Z,Geology,9.172698,7.7584305,-1,236766189_38/65_1,0.585,-2.5250006529217845,-0.851395921975727
14,251711372,117/119,1.0,"To prove the robustness of our findings, we conduct additional analysis of the announcement of the effectiveness of the Pfizer-BioNTech COVID-19 vaccine in the US. As highlighted by Abate et al. (2020), most governments have prioritized maintaining air transport connectivity in order to protect economic activity and jobs. State aid to airlines raises doubts about the appropriateness of the pre-COVID-19 **data** used in cross-sectional regressions in Panel 2 of Table 2 for vaccine announcement analysis. For example, due to state aid and bailouts, the ownership structure and indebtedness of airlines had already changed when vaccines were announced to be effective. According to the IATA, the global airline debt had increased by $220 billion by the end of 2020, where state aid accounted for between 1% (Latin America) and 25% (North America) of airline operating revenues in2019. 7 We evaluate Equation (4) for the seven variables, using the most recent **data** for many of the control variables to draw any relevant explanatory power from them. The control variables are calculated based on interim accounting figures for the year 2020. Panel 3 of Table 2 provides the results, which are consistent with the results of the original analysis in Panel 2 of Table 2.  [-1,5]. SIZE i is the total assets (natural logarithm of total assets, millions of Euro); OWN i is the cumulated ownership of the three main shareholders (%); LIQ i is the ratio of current assets to total assets (%); TLEV i is the ratio of total debt to total assets (%); ROA i is the ratio of operating income to total average assets (%); LCD i is a dummy variable that takes the value 1 for low-cost carriers and 0 otherwise; STO i is a dummy variable that takes the value 1 if the main owner is the state or another public entity and 0 otherwise*, ** and *** denote statistical significance at the 10%, 5% and 1% level, respectively. Country-clustering robust errors are used (in parentheses). ",331,63e5454d69422edf8b006e0f,"{'ACL': None, 'DBLP': None, 'ArXiv': None, 'MAG': None, 'CorpusId': '251711372', 'PubMed': '36034526', 'DOI': '10.1016/j.jairtraman.2022.102281', 'PubMedCentral': '9393161'}",https://www.semanticscholar.org/paper/b8dce6411979f4c45da8bf3b1ad76d36ccb2a748,Airline stock markets reaction to the COVID-19 outbreak and vaccines: An event study,"[{'authorId': '50480699', 'name': 'António Miguel Martins'}, {'authorId': '120293351', 'name': 'Susana Cró'}]",Journal of Air Transport Management,dd375d75-7a05-469d-beef-17647ae99785,2022.0,60,5,0,False,"[{'category': 'Business', 'source': 's2-fos-model'}, {'category': 'Economics', 'source': 's2-fos-model'}, {'category': 'Medicine', 'source': 'external'}]",['JournalArticle'],2022-08-22,"{'name': 'Journal of Air Transport Management', 'pages': '102281 - 102281', 'volume': '105'}",2023-01-24T14:18:54.560Z,Business,15.971757,14.065052,-1,251711372_117/119_1,0.983,4.274058347078215,5.455225578024272
20,221635250,11/22,1.0,"Raw mobility spectra for positively charged THABr clusters taken with the Perez-LT-3 o DMA, with the blower running at the lowest (3200 rpm, gray) and the highest (9000 rpm, black) settings tested. The aerosol flow was between 1.3 and 1.5 L/min. Fig. 4 shows raw mobility spectra for positively charged THABr clusters at the lowest and the highest settings of the blower used, showing a drastic increase in resolution as the flow rate goes up. The bipolar source used produces dominantly singly charged ions (Fernandez de la Mora & Barrios, 2017), so the ordering of the peaks in the spectrum reveals directly their composition: monomer (bare cation), dimer, trimer, etc, from left to right. The upper spectrum taken at 3200 rpm resolves up to 18 clusters. The lower spectrum taken at 9000 rpm goes only up to the octamer. Note that the noise level is about 0.1 fA, as expected for this electrometer. As a result of the rather low signal, the zero drift of the electrometer is not negligible. It was corrected by assuming a linear variation of the baseline with the voltage, such that the horizontal regions between isolated peaks would be indeed flat. As an example, in the **data** shown at 9000 rpm (lower continuous black line) the last datum that reads approximately 0 fA when corrected would have read 0.4 fA, and the flat theoretically horizontal regions between peaks 1-6, if not corrected, would have had an unphysical finite upward slope. Uncorrected **data** are shown also for reference as the dotted line falling slightly above the corrected continuous line for 9000 rpm. Spectra were taken at the pump settings and flow rates indicated in Table 3. The peaks for the various clusters in these spectra taken at several pump speeds were fitted to Gaussian curves to obtain the resolving powers shown in Fig. 5. The figure includes the continuous gray line C V 1/2 scaling with peak voltage as theoretically expected from diffusive broadening (Rosell et al., 1996). The coefficient C (1.55 V − 1/2 ) used is not obtained by any rigorous theoretical analysis, but empirically as a low-voltage fit (gray line in Fig. 5) to the upper envelope of the data:",367,63e5482769422edf8b65a285,"{'ACL': None, 'DBLP': None, 'ArXiv': None, 'MAG': '3084686917', 'CorpusId': '221635250', 'PubMed': '32952209', 'DOI': '10.1016/j.jaerosci.2020.105658', 'PubMedCentral': '7486871'}",https://www.semanticscholar.org/paper/1ef6b343d8ab5a9436ad98bff86160735665352b,Exceeding a resolving power of 50 for virus size determination by differential mobility analysis☆,"[{'authorId': '1420085809', 'name': 'L. J. Perez-Lorenzo'}, {'authorId': '5611344', 'name': 'J. Fernández de la Mora'}]",Journal of Aerosol Science,f05e3a92-2992-4bec-a8f0-c947c2a0c3ba,2020.0,33,5,0,False,"[{'category': 'Physics', 'source': 's2-fos-model'}, {'category': 'Medicine', 'source': 'external'}, {'category': 'Materials Science', 'source': 'external'}]",['JournalArticle'],2020-09-12,"{'name': 'Journal of Aerosol Science', 'pages': '105658 - 105658', 'volume': '151'}",2023-01-04T19:17:36.641Z,Physics,9.482429,7.3376765,-1,221635250_11/22_1,0.5,-2.2152696529217852,-1.2721499219757275
22,55648852,20/40,7.0,"The Italian OBS **data** available at the time of this report are only those recorded by the broadband OBSs. These **data** are saved in SAC files and therefore easy to handle. The procedure was the same as for the rest of data, obtaining .mat files as the final format.  ",51,63e50beac0269048cfecbafe,"{'ACL': None, 'DBLP': None, 'ArXiv': None, 'MAG': '2529507044', 'CorpusId': '55648852', 'PubMed': None, 'DOI': '10.4401/AG-7080', 'PubMedCentral': None}",https://www.semanticscholar.org/paper/6b74c0574d281f0c6dfa27b3e950350a043be7e7,TOMO-ETNA experiment at Etna volcano: Activities on land,"[{'authorId': '144742071', 'name': 'J. Ibáñez'}]",,,2016.0,77,20,0,False,"[{'category': 'Geology', 'source': 's2-fos-model'}, {'category': 'Geology', 'source': 'external'}]",,2016-09-30,"{'name': 'Annals of Geophysics', 'pages': '0427', 'volume': '59'}",2022-12-12T14:28:46.956Z,Geology,12.4959,8.142754,-1,55648852_20/40_7,0.5,0.7982013470782157,-0.4670724219757272
25,236196766,4/47,8.0,"Arthur provides an HTTP API (via its Server class), which allows for the management (submit, delete, list) of Perceval jobs, defined as JSON documents specifying the details of the job. These details include the category of the job, parameters to run Perceval, or parameters to the scheduler, such as the maximum number of retries upon failures. Jobs are sent to the Scheduler class, which maintains queues for first-time and incremental retrievals, rescheduling in case of failures. These queues submit jobs to Workers (which can run in different machines), which are the key scalability element of Arthur. When jobs are done, workers notify the scheduler, and in case of success, they send the JSON documents, resulting from Perceval **data** retrieval, to a storage queue, where they are consumed by The Analyzer module runs third party tools on the checkouts of the repository, produced by the Client module, and passes the results, properly formatted, to the Backend module. The ""tools"" box shows third party tools.",163,63e5568de95157eb65a2b2ad,"{'ACL': None, 'DBLP': 'journals/peerj-cs/DuenasCGFICG21', 'ArXiv': None, 'MAG': None, 'CorpusId': '236196766', 'PubMed': '34307858', 'DOI': '10.7717/peerj-cs.601', 'PubMedCentral': '8279145'}",https://www.semanticscholar.org/paper/7e383ddd9aaecc4c700f47ad824f4dfb711e5c14,GrimoireLab: A toolset for software development analytics,"[{'authorId': '144125116', 'name': 'Santiago Dueñas'}, {'authorId': '34820138', 'name': 'Valerio Cosentino'}, {'authorId': '1397826059', 'name': 'Jesus M. Gonzalez-Barahona'}, {'authorId': '2120374921', 'name': 'Alvaro del Castillo San Felix'}, {'authorId': '1384382015', 'name': 'Daniel Izquierdo-Cortazar'}, {'authorId': '2120340149', 'name': 'Luis Cañas-Díaz'}, {'authorId': '2120359686', 'name': 'Alberto Pérez García-Plaza'}]",PeerJ Computer Science,138e58fc-8643-41c2-a92c-068ea4f4c607,2021.0,76,10,0,False,"[{'category': 'Computer Science', 'source': 's2-fos-model'}, {'category': 'Computer Science', 'source': 'external'}, {'category': 'Medicine', 'source': 'external'}]",['JournalArticle'],2021-07-09,"{'name': 'PeerJ Computer Science', 'pages': None, 'volume': '7'}",2022-12-23T07:28:03.975Z,Computer Science,14.417222,7.278951,20,236196766_4/47_8,0.085,2.7195233470782156,-1.330875421975727
