,corpusid,section,subsection,text,wc,_id,externalids,url,title,authors,venue,publicationvenueid,year,referencecount,citationcount,influentialcitationcount,isopenaccess,s2fieldsofstudy,publicationtypes,publicationdate,journal,updated,field,x,y,labels,corpusid_unique,section_pos_in_pct,x_centered,y_centered
1603,17309701,2/16,2.0,"We list in Table 2  the orbit was solved separately and the obtained results are summarized in Table 3. The internal precision of a single observation amounts to ∼ 1.0 km s −1 for the primary and ∼ 2.0 km s −1 for the secondary. We note a quite significant deviation among the V 0 values derived from the different lines. This is not uncommon in this part of the HR diagram (e.g. Mathias et al. (1994) for a discussion). It is interpreted in various ways, among which unknown blends within the lines, an asymmetric Stark effect among different lines (Struve & Zebergs 1960) or the presence of a so-called Van Hoof effect (Van Hoof 1975) in pulsating stars. The latter effect is due to the fact that spectral lines form in different line forming regions in the stellar atmosphere, such that a running wave nature of the oscillations implies a shift in phase during the velocity cycle. Such an effect has clearly been detected in the pulsating B stars BW Vulpeculae and α Lupi (Mathias & Gillet 1993). Our **data** have insufficient time base and temporal resolution to test the presence of a Van Hoof effect in CV Vel (see also Section 6). Even if a Van Hoof effect is present, it would not explain the difference in V 0 for the two Si lines of the same triplet (SiIII λ4553 and SiIII λ4568). A similar unexplained average velocity shift between the same lines in this Si triplet was encountered by De Cat et al. (2000) in their analysis of several hundred line-profile data, of very high S/N, of the B0.5III star ε Per. As there, we are unable to offer a good interpretation of this shift. We will take it into account as a systematic uncertainty in the derivation of the orbital and fundamental parameters of the star (see below). Though the eccentricity, e, was first regarded as a free parameter, its value always appeared to be zero, within the error range, so we do not list it in Table 3. The fifth column of Table 4 gives the orbital solution from the averaged radial velocities of our study. The average radialvelocity values are plotted versus the orbital phase for each of the components in Fig. 2. The phases were calculated using the ephemeris given by Clausen & Grønbech (1977):",393,63e50f8d37ff20fc75d39023,"{'ACL': None, 'DBLP': None, 'ArXiv': 'astro-ph/0701742', 'MAG': '2112525841', 'CorpusId': '17309701', 'PubMed': None, 'DOI': '10.1051/0004-6361:20065506', 'PubMedCentral': None}",https://www.semanticscholar.org/paper/adedd2063fc7c25efdf02d26dcd8e8f9a64b639c,The early-type close binary CV Velorum revisited (Corrigendum),"[{'authorId': '87047449', 'name': 'K. Yakut'}, {'authorId': '66720029', 'name': 'C. Aerts'}, {'authorId': '48127848', 'name': 'T. Morel'}]",,,2007.0,41,14,2,True,"[{'category': 'Physics', 'source': 's2-fos-model'}, {'category': 'Physics', 'source': 'external'}]",,2007-01-25,"{'name': 'Astronomy and Astrophysics', 'pages': None, 'volume': '562'}",2023-01-06T01:13:12.277Z,Physics,8.826318,7.3897786,-1,17309701_2/16_2,0.125,-2.8713806529217845,-1.2200478219757276
1605,4456587,4/21,1.0,"Because we and others have consistently observed increased circulating total bile acids 9,10,15,16 and increased FXR signaling 9,17 following various bariatric procedures including VSG, and because FXR was one of the regulated genes identified in our pathway analysis, we hypothesized that FXR-signaling contributes to the metabolic benefits of VSG. To test this, we first generated whole-body FXR knockout mice (KO), and their wild-type littermate controls (WT) from founders purchased from Jackson Labs (Bar Harbor ME). Because KO mice are somewhat resistant to diet-induced obesity 18 we maintained these mice on a 60% high-fat diet (HFD) for 10 weeks prior to surgery, such that both WT and KO mice became obese. Both genotypes carried more than 30% of their body weight as fat prior to surgery (Fig 2 A-B); our previous **data** indicate this level of adiposity provides more-than-sufficient opportunity for VSG-induced body weight and fat loss 3,19 .",148,63e546b669422edf8b3688f6,"{'ACL': None, 'DBLP': None, 'ArXiv': None, 'MAG': '2019441910', 'CorpusId': '4456587', 'PubMed': '24670636', 'DOI': '10.1038/nature13135', 'PubMedCentral': '4016120'}",https://www.semanticscholar.org/paper/2e047f2d6440711ee92332ed63d0c3d5e22e5beb,FXR is a molecular target for the effects of vertical sleeve gastrectomy,"[{'authorId': '40080450', 'name': 'K. Ryan'}, {'authorId': '4103705', 'name': 'V. Tremaroli'}, {'authorId': '3430598', 'name': 'C. Clemmensen'}, {'authorId': '1395882632', 'name': 'P. Kovatcheva-Datchary'}, {'authorId': '5715422', 'name': 'Andriy Myronovych'}, {'authorId': '4088193', 'name': 'R. Karns'}, {'authorId': '1398218710', 'name': 'H. Wilson-Pérez'}, {'authorId': '4720969', 'name': 'D. Sandoval'}, {'authorId': '1682931', 'name': 'Rohit Kohli'}, {'authorId': '3974379', 'name': 'F. Bäckhed'}, {'authorId': '2417690', 'name': 'R. Seeley'}]",Nature,6c24a0a0-b07d-4d7b-a19b-fd09a3ed453a,2014.0,72,782,31,True,"[{'category': 'Medicine', 'source': 's2-fos-model'}, {'category': 'Biology', 'source': 's2-fos-model'}, {'category': 'Biology', 'source': 'external'}, {'category': 'Medicine', 'source': 'external'}]",['JournalArticle'],2014-03-26,"{'name': 'Nature', 'pages': '183 - 188', 'volume': '509'}",2023-01-29T17:46:22.255Z,Medicine,12.284593,13.105058,-1,4456587_4/21_1,0.19,0.5868943470782142,4.495231578024272
1612,53478339,16/24,3.0,"Ideally, the SSS-δ 18 O sw relationship should be established on a local/regional basis because of variation in the isotopic composition of rainfall and river water (Corrège, 2006). Published values of the slope of the SSS-δ 18 O sw relationship obtained in the tropical Pacific Ocean vary between 0.27 and 0.45 psu (Fairbanks et al., 1997;Morimoto et al., 2002). As an estimate of salinity values, the equation generated by Morimoto et al. (2002) from Palau, when applied to the **data** in this study, yielded a mean value of 34.7 psu for both modern and mid-Holocene δ 18 O sw records. This value corresponds well with the 35.1 psu mean value from the SODA salinity dataset, given that salinities are likely to be lower in the nearshore area of King Reef, and the satellite **data** average a square grid of 0.5° × 0.5°. The annual salinity range of 2.1 psu obtained by applying the Morimoto et al. (2002) equation to the modern δ 18 O sw is higher than the annual salinity range of 1.67 psu indicated by the SODA dataset. The Holocene δ 18 O sw record indicates an annual salinity range of 2.4 psu, suggesting that the annual salinity range was significantly greater in the nearshore GBR at ~ 4700 cal. yr BP.",214,63e540843d001ba24705fe65,"{'ACL': None, 'DBLP': None, 'ArXiv': None, 'MAG': '2097348050', 'CorpusId': '53478339', 'PubMed': None, 'DOI': '10.1177/0959683614534739', 'PubMedCentral': None}",https://www.semanticscholar.org/paper/384f94ea339e45247083630920f424898f8ce16c,Mid-Holocene sea surface conditions and riverine influence on the inshore Great Barrier Reef,"[{'authorId': '40557169', 'name': 'R. Roche'}, {'authorId': '144663960', 'name': 'C. Perry'}, {'authorId': '39503290', 'name': 'S. Smithers'}, {'authorId': '34770518', 'name': 'M. Leng'}, {'authorId': '8588654', 'name': 'C. Grove'}, {'authorId': '144637427', 'name': 'H. Sloane'}, {'authorId': '47030733', 'name': 'Catherine Unsworth'}]",,,2014.0,75,17,2,True,"[{'category': 'Environmental Science', 'source': 's2-fos-model'}, {'category': 'Geography', 'source': 's2-fos-model'}, {'category': 'Geology', 'source': 'external'}]",['JournalArticle'],2014-06-05,"{'name': 'The Holocene', 'pages': '885 - 897', 'volume': '24'}",2022-12-20T04:46:17.636Z,Environmental Science,10.599287,8.6741905,9,53478339_16/24_3,0.667,-1.0984116529217847,0.06436407802427269
1614,249258070,31/119,4.0,"The breakdown of self-initiated activities across these three units were 64.2% for patrol, 17.5% for special crime units, and 18.3% for the differential response team. Unfortunately, the HPD CFS **data** do not provide detailed information about the nature of self-initiated activities, such as offense or incident type for patrol officers. Activities performed by specialized crime investigation and DRT officers might be deduced approximately using the division information. But to further breakdown the activity to specific units produces small frequencies of specific offenses, which would have been insufficient to conduct meaningful analysis. For example, there were only 338 self-initiated activities recorded under gang division, and 165 self-initiated activities recorded under robbery division during the study period. The **data** do include some information on dispositional outcomes of police self-initiated activities. The most frequent type of action for self-initiated activities is ""collecting information"" for each of the three types of police units. The disposition of ""collecting information"" is used in instances where the incident is resolved without needing to generate an offense report or referral for further investigation. Some examples are if the officer resolves the issue by mediation, the complaint is a civil issue rather than criminal, or if it is to provide further information about an offense report that already exists. Other self-initiated actions include making an offense or supplementary report, making an arrest, issuing tickets, etc.",226,63e53ea84d1527b9f5e72563,"{'ACL': None, 'DBLP': None, 'ArXiv': None, 'MAG': None, 'CorpusId': '249258070', 'PubMed': '36247349', 'DOI': '10.1016/j.jcrimjus.2022.101943', 'PubMedCentral': '9549130'}",https://www.semanticscholar.org/paper/31b230c3c146218eac8b47b494688803c2cb1969,The impact of COVID-19 on police officer activities,"[{'authorId': '1996675099', 'name': 'Kyler R. Nielson'}, {'authorId': '2152819901', 'name': 'Yan Zhang'}, {'authorId': '4158978', 'name': 'J. Ingram'}]",Journal of criminal justice,765e8694-d3a5-4e85-a882-9c6c2356475e,2022.0,55,3,0,False,"[{'category': 'Law', 'source': 's2-fos-model'}, {'category': 'Medicine', 'source': 'external'}]",['JournalArticle'],2022-05-01,"{'name': 'Journal of Criminal Justice', 'pages': '101943 - 101943', 'volume': '82'}",2023-01-26T06:21:55.069Z,Law,-10.482432,7.82156,0,249258070_31/119_4,0.261,-22.180130652921783,-0.7882664219757274
1615,55648852,9/40,1.0,"We have used also the **data** recorded by the INGV permanent network operated by the Osservatorio Etneo (the INGV Etna Observatory; Figure 7). Seismic stations of this network are broadband three-component Nanometrics Trillium seismometers. These sensors have a period of 40 s, a flat frequency response from 0.025 Hz and a sensitivity of 1553 V/M/S. They register with a sample frequency of 100 Hz by a Nanometrics Trident digital system (24 bits). For TOMO-ETNA experiment we used the **data** registered in 71 seismic stations. The dataset is provided in DMX format, which is a simplified type of SUDS format. In this case, careful **data** processing was needed to transform DMX to a SAC format.",114,63e50beac0269048cfecbafe,"{'ACL': None, 'DBLP': None, 'ArXiv': None, 'MAG': '2529507044', 'CorpusId': '55648852', 'PubMed': None, 'DOI': '10.4401/AG-7080', 'PubMedCentral': None}",https://www.semanticscholar.org/paper/6b74c0574d281f0c6dfa27b3e950350a043be7e7,TOMO-ETNA experiment at Etna volcano: Activities on land,"[{'authorId': '144742071', 'name': 'J. Ibáñez'}]",,,2016.0,77,20,0,False,"[{'category': 'Geology', 'source': 's2-fos-model'}, {'category': 'Geology', 'source': 'external'}]",,2016-09-30,"{'name': 'Annals of Geophysics', 'pages': '0427', 'volume': '59'}",2022-12-12T14:28:46.956Z,Geology,12.466558,8.121391,-1,55648852_9/40_1,0.225,0.7688593470782141,-0.4884354219757281
1616,11007627,17/31,1.0,"In preliminary shaking flasks experiments the recombinant expression of PepP from Lactobacillus plantarum NC8 as well as Lactococcus lactis ssp. lactis DSM 20481 was studied. The cultivation temperatures varied between 4°C and 37°C. At higher temperatures (30°C and 37°C), no active recombinant protein was detected in the soluble fractions after cell disruption, but a strong overexpression band was observed following SDS-PAGE analysis of the insoluble protein fraction (inclusion bodies; **data** not shown). Cultivation at lower temperatures (4°C and 20°C) resulted in a recombinant protein overexpression band in both the soluble and insoluble protein fractions after cell disruption (data not shown). Similar results were obtained using E. coli C41 (DE3) and E. coli C43 (DE3) as hosts for expression. The expression systems containing partial soluble PepP were tested for enzymatic function using a novel, specific PepP activity assay based on the release of L-leucine from the substrate LPP (Figure 1).",149,63e55748e95157eb65bf7032,"{'ACL': None, 'DBLP': None, 'ArXiv': None, 'MAG': '2154358370', 'CorpusId': '11007627', 'PubMed': '22853547', 'DOI': '10.1186/2191-0855-2-39', 'PubMedCentral': '3418211'}",https://www.semanticscholar.org/paper/5463b99325d72709aa110e847179059c5012b5dc,"Production, active staining and gas chromatography assay analysis of recombinant aminopeptidase P from Lactococcus lactis ssp. lactis DSM 20481","[{'authorId': '6022082', 'name': 'T. Stressler'}, {'authorId': '5075998', 'name': 'T. Eisele'}, {'authorId': '4958197', 'name': 'M. Schlayer'}, {'authorId': '49467751', 'name': 'L. Fischer'}]",AMB Express,6d2d84c6-efa3-48d8-9d67-40a6951490ec,2012.0,35,21,0,True,"[{'category': 'Agricultural And Food Sciences', 'source': 's2-fos-model'}, {'category': 'Biology', 'source': 's2-fos-model'}, {'category': 'Biology', 'source': 'external'}, {'category': 'Medicine', 'source': 'external'}]",['JournalArticle'],2012-08-01,"{'name': 'AMB Express', 'pages': '39 - 39', 'volume': '2'}",2023-01-25T16:19:23.424Z,Agricultural And Food Sciences,12.013652,12.818237,-1,11007627_17/31_1,0.548,0.31595334707821543,4.208410578024273
1618,24097617,5/11,5.0,"Next, we examined how the transition of the KaiB interaction profile was affected by a high temperature pulse using FCS analysis with high time resolution. Following a temperature pulse delivered after 20 h of incubation, FCS analysis was performed every 10 min for the next 7 h, every 30 min for the following 13 h, and every 2 h for the final 52 h, for a total incubation time of 92 h. As with the previous experiments in which the sampling  frequency was every 2 h, high time resolution monitoring detected a phase advance of ϳ2 h (Figs. 5a and 6a), and the waveforms obtained with the two monitoring conditions were similar. The diffusion time observed in the heat-treated sample was shorter than that observed in the control sample starting at 20.9 h of incubation, immediately after the heat stimulus, until 23.8 h of incubation (Fig. 6b). These **data** indicated that the high temperature stimulus accelerated dissociation of KaiB from the KaiC-based complex. After 26.6 h of incubation, the diffusion time clearly increased in the heat-treated samples, whereas that in the untreated control sample began to increase after incubation for 28 h. The phase shift after 20 h of incubation occurred just after the temperature stimulus. Thus, this real-time monitoring system allowed high time resolution analysis of changes in KaiB interactions in the Kai protein oscillator.",227,63e54c78d013a649c4d97fc6,"{'ACL': None, 'DBLP': None, 'ArXiv': None, 'MAG': '1986822617', 'CorpusId': '24097617', 'PubMed': '22157012', 'DOI': '10.1074/jbc.M111.265777', 'PubMedCentral': None}",https://www.semanticscholar.org/paper/412a44d54707269f12d558a174a92143f6169c81,Fluorescence Correlation Spectroscopy to Monitor Kai Protein-based Circadian Oscillations in Real Time*,"[{'authorId': '38641132', 'name': 'Kazuhito Goda'}, {'authorId': '2110352140', 'name': 'Hiroshi Ito'}, {'authorId': '25855883', 'name': 'T. Kondo'}, {'authorId': '5274724', 'name': 'T. Oyama'}]",Journal of Biological Chemistry,099a2ecc-54f9-42d3-9ea0-0189027aa04f,2011.0,33,11,1,True,"[{'category': 'Biology', 'source': 's2-fos-model'}, {'category': 'Biology', 'source': 'external'}, {'category': 'Medicine', 'source': 'external'}]",['JournalArticle'],2011-12-06,"{'name': 'The Journal of Biological Chemistry', 'pages': '3241 - 3248', 'volume': '287'}",2023-01-23T09:42:36.461Z,Biology,11.118212,12.916075,34,24097617_5/11_5,0.455,-0.5794866529217853,4.306248578024272
1620,119479526,14/29,2.0,"We culminate the study with an assessment of the thermodynamic properties of Hafnium metal from 0 to 4900K through three distinct phases. The resulting models are broadly effective over a wide range of temperatures and come with parameter and prediction uncertainty intervals. We find that the Debye In the first step of the Bayesian analysis we select a set of potential models. One of the strengths of this framework is that models of any form with different numbers of parameters may be compared. In this example, we select polynomials of order N represented as follows,
M (x, Θ) = N i=0 Θ i x i ,(15)
where i is the exponent of x and indexes the model parameter vector. Next, we define the Likelihood and priors on the model parameters. We assume independence of the **data** points and write the Likelihood as the product of the individual Gaussian Likelihoods for each **data** point,
P (D|Θ, ε, M ) = j N (y j |M (x j , Θ) , ε) ,(16)
where i indexes each **data** point and ε is standard error parameter, which is included in the Bayesian analysis and captures the standard deviation of the **data** generation process. Note that, in practice, the product is replaced by a summation of log-Likelihoods; this alleviates the issues of arithmetic underflow and overflow that are common when multiplying large sets of probability densities. Priors are chosen based on the best available knowledge about the parameters and the relationships between parameters. In this simple example we select uniform priors as follows,   Fig. 9b, Fig. 10, and Fig. 11 give us confidence that different samplers obtain the same posterior parameter distributions given a single set of Likelihood and prior definitions.
P (Θ i |M ) = U (Θ i | − 2, 2) ,(17a)
",298,63e51dc98296e79cfbd92e04,"{'ACL': None, 'DBLP': None, 'ArXiv': '1809.07365', 'MAG': '2951794080', 'CorpusId': '119479526', 'PubMed': None, 'DOI': '10.1016/J.IJENGSCI.2019.05.011', 'PubMedCentral': None}",https://www.semanticscholar.org/paper/6a055a161100858099e07363a299f6a92dbe6d9b,Bayesian strategies for uncertainty quantification of the thermodynamic properties of materials,"[{'authorId': '102768252', 'name': 'Noah H. Paulson'}, {'authorId': '49430957', 'name': 'E. Jennings'}, {'authorId': '145031919', 'name': 'M. Stan'}]",International Journal of Engineering Science,02d10b3a-d2f6-4c55-bf63-52e48d0f43d2,2018.0,74,24,1,True,"[{'category': 'Materials Science', 'source': 's2-fos-model'}, {'category': 'Computer Science', 'source': 'external'}, {'category': 'Physics', 'source': 'external'}, {'category': 'Materials Science', 'source': 'external'}]",,2018-09-19,"{'name': 'International Journal of Engineering Science', 'pages': None, 'volume': None}",2023-01-04T16:02:26.521Z,Materials Science,10.748397,6.1198406,27,119479526_14/29_2,0.483,-0.9493016529217844,-2.4899858219757274
1625,253553223,15/28,1.0,"Corollary 4.14 (Convergence rates in probability). Suppose the regularisation strategy g α has qualification q ν + s. Suppose that Y ∈ L ψ 2 (P; Y), X ∈ L ψ 2 (P; X ), θ ⋆ ∈ Ω(ν, R), and 0 < α < 1. Let δ ∈ (0, 1 e ] and s ∈ [0, 1 2 ]. If the regularisation parameter α = α n is chosen to depend on the number n of **data** points via
α n := 1 √ n 1 ν+1
, then, for n n 0 := max X 4 L ψ 2 (P;X ) , 1152e 2 X 4 L ψ 2 (P;X ) log(1/δ)
1 ν 1+ν ,
with P ⊗n -probability at least 1 − 2δ,
θ ⋆ − θ αn C s XX S 2 (X ,Y) 3κ log(1/δ) 1 √ n s+ν 1+ν
, whereκ := max{κ ν,C XXγ R, 64κ D,B eB ψ 2 } < ∞ is obtained from the constants appearing in Propositions 4.12 and 4.13.",166,63e515bfddcbbce27c5cf398,"{'ACL': None, 'DBLP': None, 'ArXiv': '2211.08875', 'MAG': None, 'CorpusId': '253553223', 'PubMed': None, 'DOI': None, 'PubMedCentral': None}",https://www.semanticscholar.org/paper/d5db0858b7ab8d4879fbff45ff6c055781ffe29c,Learning linear operators: Infinite-dimensional regression as a well-behaved non-compact inverse problem,"[{'authorId': '40896255', 'name': 'Mattes Mollenhauer'}, {'authorId': '51424710', 'name': 'Nicole Mucke'}, {'authorId': '153785472', 'name': 'T. Sullivan'}]",,,2022.0,44,0,0,False,"[{'category': 'Mathematics', 'source': 's2-fos-model'}, {'category': 'Mathematics', 'source': 'external'}]",,2022-11-16,,2022-11-17T11:37:23.659Z,Mathematics,10.29795,4.808746,-1,253553223_15/28_1,0.536,-1.3997486529217849,-3.801080421975727
1628,13210573,4/16,1.0,"The rate of release of calcium from the SR should be proportional to both the SR calcium permeability and the driving force for calcium efflux. Assuming the driving force to be proportional to the SR calcium content, the effects of differences in driving force on the measured rate of release would be removed by expressing release relative to SR content. The resulting R*redCo records would give the time course of SR calcium release permeability independent of SR content and corrected for calcium depletion during the pulse. The third row of Fig The SR content Co in each fiber was determined by assuming various values for Co and selecting that value that produced the most steady final level of R~l after correction for depletion of calcium from the SR during the pulse. The number of fibers used in each set of conditions is indicated above each corresponding **data** point here and in all other figures presenting mean values. All records were obtained from calcium transients elicited by a 120-ms pulse to -20 mV from a holding potential of -100 mV. At 134 IzM and 1 mM [Mg 9+] the SEM was less than or equal to the size of the point. Same fibers and pulses as in Figs. 2 and 3 of Jacquemond and Schneider (1992). records calculated from the R r'el records in the second row. Since Co was larger in control than in low internal [Mg2+], the control R *el~Co record was relatively smaller compared with the R *et/Co in low internal [Mg 2÷] (Fig. 1, row 3) than was the case for the R*et records not normalized to Co (Fig. 1, row 2).",275,63e556c3e95157eb65aaea69,"{'ACL': None, 'DBLP': None, 'ArXiv': None, 'MAG': '2129542311', 'CorpusId': '13210573', 'PubMed': '1512555', 'DOI': '10.1085/JGP.100.1.137', 'PubMedCentral': '2229125'}",https://www.semanticscholar.org/paper/b89bdc3b4c326d647d44c40e1923a6a7be6106bd,Low myoplasmic Mg2+ potentiates calcium release during depolarization of frog skeletal muscle fibers,"[{'authorId': '4811910', 'name': 'V. Jacquemond'}, {'authorId': '2107764097', 'name': 'M. F. Schneider'}]",The Journal of General Physiology,eb5b7fda-8fd6-48a1-bfed-2aac4b99cbee,1992.0,42,19,1,True,"[{'category': 'Biology', 'source': 's2-fos-model'}, {'category': 'Chemistry', 'source': 'external'}, {'category': 'Medicine', 'source': 'external'}]",['JournalArticle'],1992-07-01,"{'name': 'The Journal of General Physiology', 'pages': '137 - 154', 'volume': '100'}",2023-01-21T12:39:57.238Z,Biology,13.148966,13.280078,-1,13210573_4/16_1,0.25,1.4512673470782147,4.670251578024272
